index,type,name,resident,streamed,parentStack
20,xmodelmesh,p7_cai_street_sidewalk_old_04_paver_broken_05_lod05ae80bbd,1168,0,|p7_cai_street_sidewalk_old_04_paver_broken_05|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
21,xmodelmesh,p7_barbed_wire_lod624d7c18,4400,0,|p7_barbed_wire|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
22,xmodelmesh,p7_cai_door_wood_decorative_doorframes_01_lod5da56492f,1568,0,|p7_cai_door_wood_decorative_doorframes_01_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
23,xmodelmesh,p7_debris_wood_plank_old_64b_lod073b02423,1296,0,|p7_debris_wood_plank_old_64b|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
24,xmodelmesh,p7_debris_wood_plywood_4x4_flat_lod030063d34,1360,0,|p7_debris_wood_plywood_4x4_flat|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
25,xmodelmesh,p7_foliage_hedge_box_128_48_60_lod137420c97,240,5360,|p7_foliage_hedge_box_128_48_60|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
26,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod06a9106b2,2800,0,|p7_zm_der_magic_box_fake_trunk|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
27,xmodelmesh,p7_cai_apt_door_generic_lt_01_lod0c94a764d,1952,0,|p7_cai_apt_door_generic_lt_01_dmg|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
28,xmodelmesh,hub_sand_dirt_02_lod07c27223,1136,0,|hub_sand_dirt_02_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
29,xmodelmesh,par_rubble_concrete_pile_01_lod058d9677f,1616,0,|par_rubble_concrete_pile_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
30,xmodelmesh,p7_debris_concrete_rubble_slab_03_lod1606fc683,1344,0,|p7_debris_concrete_rubble_slab_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
31,xmodelmesh,p7_debris_concrete_rubble_slab_01_lod0a8b975ec,1888,0,|p7_debris_concrete_rubble_slab_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
32,xmodelmesh,p7_debris_concrete_rubble_slab_02_lod09d358a9e,1264,0,|p7_debris_concrete_rubble_slab_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
33,xmodelmesh,p7_debris_concrete_rubble_lg_03_no_metal_lod087e61fc9,1200,0,|p7_debris_concrete_rubble_lg_03_no_metal|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
34,xmodelmesh,p7_trophy_taxidermy_plaques_04_lod44dd8c84d,1040,0,|p7_trophy_taxidermy_plaques_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
35,xmodelmesh,p7_street_curb_sewer_drain_lod0484f0521,1536,0,|p7_street_curb_sewer_drain_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
36,xmodelmesh,p7_sandbag_stack_32_right_lod2757e29da,352,5792,|p7_sandbag_stack_32_right|xmodel|maps/zm/zm_nuked.d3dbsp|col_map|zone_source/zm_nuked.zone|csv
37,xmodelmesh,p7_sandbag_stack_32_left_lod2c19f5db7,352,5504,|p7_sandbag_short_left_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
38,xmodelmesh,p7_electrical_box_set2_box06_lod06df90dca,1344,0,|p7_electrical_box_set2_box06|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
39,xmodelmesh,p7_debris_asphalt_chunk_01_lod079c19631,1072,0,|p7_debris_asphalt_chunk_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
40,xmodelmesh,p7_debris_asphalt_chunk_04_lod0c12b201c,1120,0,|p7_debris_asphalt_chunk_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
41,xmodelmesh,p7_debris_asphalt_chunk_05_lod015c39134,1072,0,|p7_debris_asphalt_chunk_05|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
42,xmodelmesh,p7_debris_asphalt_chunk_03_lod0e621f276,1136,0,|p7_debris_asphalt_chunk_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
43,xmodelmesh,p7_sofa_leather_chair_clean_lod58a749917,1520,0,|p7_sofa_leather_chair_studded|xmodel|maps/zm/zm_nuked.d3dbsp|col_map|zone_source/zm_nuked.zone|csv
44,xmodelmesh,p7_electrical_box_set2_meter02_lod015435d68,1360,0,|p7_electrical_box_set2_meter02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
45,xmodelmesh,p7_electrical_box_set2_meter05_lod0f884361c,1520,0,|p7_electrical_box_set2_meter05|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
46,xmodelmesh,p7_debris_glass_shards_04_lod0bdc99d4d,2624,0,|p7_debris_glass_shards_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
47,xmodelmesh,day_rubble_dirt_pile_03_lod04c215644,1552,0,|day_rubble_dirt_pile_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
48,xmodelmesh,day_rubble_dirt_pile_04_lod07186ee4,1184,0,|day_rubble_dirt_pile_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
49,xmodelmesh,p7_eth_rock_medium_01_lod0d1a24e4d,1680,0,|p7_biodome_rock_medium_01_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
50,xmodelmesh,p7_eth_rock_medium_05_lod082d41264,928,0,|p7_biodome_rock_medium_05|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
51,xmodelmesh,p7_plank_wood_damaged_2x4x64_v2_lod0396b221e,1104,0,|p7_plank_wood_damaged_2x4x64_v2_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
52,xmodelmesh,p7_light_hanging_half_globe_lod08a9fa902,1264,0,|p7_light_hanging_half_globe|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
53,xmodelmesh,p8_zom_off_classified_door_00_lod01380fed5,576,4464,|p8_zom_off_classified_door_00|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
54,xmodelmesh,p7_debris_drywall_chunks_pile_01_lod03debe71e,1360,0,|p7_debris_drywall_chunks_pile_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
55,xmodelmesh,p7_mask_african_01_lod26590d489,2944,0,|p7_mask_african_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
56,xmodelmesh,p6_zm_garage_door_hinge_grp_lod0bb4ff873,1584,0,|p6_zm_garage_door_hinge_grp_hd|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
57,xmodelmesh,p7_electrical_box_set2_meterhead1_lod0719415e7,1440,0,|p7_electrical_box_set2_meterhead01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
58,xmodelmesh,p7_farm_tools_shovel_01_lod3c81790c3,1184,0,|p7_farm_tools_shovel_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
59,xmodelmesh,p7_debris_glass_shards_05_lod06ba554aa,1904,0,|p7_debris_glass_shards_05_dark|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
60,xmodelmesh,p7_debris_glass_shards_03_lod03d6f56c3,3136,0,|p7_debris_glass_shards_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
61,xmodelmesh,p7_debris_glass_shards_02_lod06dd844c1,4096,0,|p7_debris_glass_shards_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
62,xmodelmesh,p7_window_glass_shard_03_lod153b8be18,1008,0,|p7_window_glass_shard_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
63,xmodelmesh,p7_window_glass_shard_07_lod135b3f2d7,1072,0,|p7_window_glass_shard_07_no_col|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
64,xmodelmesh,p7_window_glass_shard_05_lod1a1b5ed2b,944,0,|p7_window_glass_shard_05_snow_backlit|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
65,xmodelmesh,p7_window_glass_shard_04_lod1b794c959,1040,0,|p7_window_glass_shard_04_snow_backlit|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
66,xmodelmesh,p7_window_glass_shard_08_lod1b635baf0,976,0,|p7_window_glass_shard_08|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
67,xmodelmesh,p7_window_glass_shard_09_lod1a027e499,1008,0,|p7_window_glass_shard_09|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
68,xmodelmesh,p7_debris_plaster_rubble_med_02_lod1efa9ecee,1280,0,|p7_debris_plaster_rubble_med_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
69,xmodelmesh,p7_window_glass_shard_06_lod1733cff24,1248,0,|p7_window_glass_shard_06_dark|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
70,xmodelmesh,p7_window_glass_shard_10_lod18e6ca8b6,1152,0,|p7_window_glass_shard_10_dark|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
71,xmodelmesh,p7_brick_hvy_grout_breakout_09_lod01f52d30e,1568,0,|p7_brick_hvy_grout_brown_breakout_09_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
72,xmodelmesh,p7_debris_plaster_rubble_med_01_lod019c2a474,928,0,|p7_debris_plaster_rubble_med_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
73,xmodelmesh,p7_ceramic_tile_shower_loose_06_lod0239aa04a,1232,0,|p7_ceramic_tile_shower_loose_06_blue_lt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
74,xmodelmesh,p7_brick_hvy_grout_breakout_07_lod034d5f04a,1488,0,|p7_brick_hvy_grout_brown_breakout_07|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
75,xmodelmesh,p7_plank_wood_broken_2x4x64_lod03b1f1f37,1216,0,|p7_plank_wood_broken_2x4x64|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
76,xmodelmesh,p7_ceramic_tile_shower_loose_03_lod067dccffa,1312,0,|p7_ceramic_tile_shower_loose_03_blue_lt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
77,xmodelmesh,p7_debris_metal_beam_02_lod0e8f4e17,2192,0,|p7_debris_metal_beam_02_small|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
78,xmodelmesh,p7_debris_metal_beam_01_lod0df3b3e73,1456,0,|p7_debris_metal_beam_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
79,xmodelmesh,p7_brick_hvy_grout_breakout_11_lod02ff6b54c,1424,0,|p7_brick_hvy_grout_brown_breakout_11_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
80,xmodelmesh,p7_brick_hvy_grout_breakout_03_lod08ced4524,1488,0,|p7_brick_hvy_grout_brown_breakout_03_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
81,xmodelmesh,p7_rebar_patch_64x64_01_lod1febf9341,1552,0,|p7_rebar_patch_64x64_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
82,xmodelmesh,p7_brick_hvy_grout_breakout_05_lod09dbe439a,1536,0,|p7_brick_hvy_grout_brown_breakout_05|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
83,xmodelmesh,p7_debris_plaster_rubble_med_03_lod02261ac6b,1104,0,|p7_debris_plaster_rubble_med_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
84,xmodelmesh,p7_debris_concrete_rubble_lg_03_no_metal_thin_lod0bc2019e1,1232,0,|p7_debris_concrete_rubble_lg_03_no_metal_thin|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
85,xmodelmesh,p7_debris_drywall_chunks_corner_01_lod058ff208,3136,0,|p7_debris_drywall_chunks_corner_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
86,xmodelmesh,p7_debris_drywall_chunks_edge_01_lod011222bc7,4016,0,|p7_debris_drywall_chunks_edge_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
87,xmodelmesh,p7_debris_drywall_chunks_pile_02_lod0d366ea2e,1712,0,|p7_debris_drywall_chunks_pile_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
88,xmodelmesh,p7_debris_drywall_chunks_01_lod0e928b7c5,1104,0,|p7_debris_drywall_chunks_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
89,xmodelmesh,p7_ceramic_tile_shower_loose_01_lod061c7d1d2,1408,0,|p7_ceramic_tile_shower_loose_01_blue_lt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
90,xmodelmesh,p7_ceramic_tile_shower_loose_05_lod0453d260a,1680,0,|p7_ceramic_tile_shower_loose_05_blue_lt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
91,xmodelmesh,p7_ceramic_tile_shower_loose_04_lod0b0082f92,1296,0,|p7_ceramic_tile_shower_loose_04_blue_lt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
92,xmodelmesh,p7_light_hanging_broken_lod04b226403,4320,0,|p7_light_hanging_broken|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
93,xmodelmesh,p7_brick_hvy_grout_breakout_10_lod0b7e37680,1248,0,|p7_brick_hvy_grout_brown_breakout_10_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
94,xmodelmesh,p7_brick_hvy_grout_breakout_08_lod0bdbfad76,1488,0,|p7_brick_hvy_grout_brown_breakout_08|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
95,xmodelmesh,p7_fire_place_tools_rack_lod05e36f522,1552,0,|p7_fire_place_tools_rack|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
96,xmodelmesh,p7_fire_place_tools_screen_lod0a54ae06c,1344,0,|p7_fire_place_tools_screen|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
97,xmodelmesh,p7_foliage_plant_alocasia_small_lod0ebd07887,2304,0,|p7_foliage_plant_alocasia_small|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
98,xmodelmesh,p7_stove_metal_used_lod4dcd34a35,2384,0,|p7_stove_metal_used|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
99,xmodelmesh,p7_debris_drywall_chunks_pile_04_lod0a0eb0a55,1296,0,|p7_debris_drywall_chunks_pile_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
100,xmodelmesh,p7_debris_drywall_chunks_pile_05_lod012f9d302,2400,0,|p7_debris_drywall_chunks_pile_05|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
101,xmodelmesh,p7_debris_drywall_chunks_pile_06_lod06e88fff8,1856,0,|p7_debris_drywall_chunks_pile_06|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
102,xmodelmesh,p7_can_milk_vintage_metal_lod6427df512,2064,0,|p7_can_milk_vintage_metal|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
103,xmodelmesh,p7_wood_plank_rustic01_2x12x96_lod021eae1b3,1520,0,|p7_wood_plank_rustic01_2x12x96_burnt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
104,xmodelmesh,p7_wood_plank_rustic01_2x12x96_lod4a54fe785,1520,0,|p7_wood_plank_rustic01_2x12x96|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
105,xmodelmesh,p7_debris_wood_plywood_4x8_bowed_lod025a9bd,1328,0,|p7_debris_wood_plywood_4x8_bowed_blue|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
106,xmodelmesh,p7_debris_wood_plank_old_128_lod0338c0202,1376,0,|p7_debris_wood_plank_old_128_dark|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
107,xmodelmesh,p7_zm_der2_teddybear_lod75ece8bc5,240,4416,|p7_zm_der2_teddybear|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
108,xmodelmesh,p7_bed_sheet_barrack_lod096a3d179,2192,0,|p7_bed_sheet_barrack|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
109,xmodelmesh,p7_ceiling_fan_metal_damaged_lod01d95919d,3776,0,|p7_ceiling_fan_metal_damaged|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
110,xmodelmesh,p7_zm_zod_phone_vintage_lod3bc773fdd,976,0,|p7_zm_zod_phone_vintage|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
111,xmodelmesh,p7_cai_ceiling_fan_metal_damaged_lod0b9b37933,352,4336,|p7_cai_ceiling_fan_metal_damaged|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
112,xmodelmesh,p7_chair_plush_fancy_01_cloth_lod062c6fcdf,2592,0,|p7_chair_plush_fancy_01_cloth_gold|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
113,xmodelmesh,p7_light_lamp_vintage_02_lod7b2de15a,352,5616,|p7_light_lamp_vintage_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
114,xmodelmesh,p7_desk_metal_old_01_body_lod578010f34,3024,0,|p7_desk_metal_old_01_body_rusty|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
115,xmodelmesh,p7_desk_metal_old_01_drawer_large_01_lod52e8bd02d,1360,0,|p7_desk_metal_old_01_drawer_large_01_rusty|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
116,xmodelmesh,p7_eth_rock_shape_01_lod02cc52752,2080,0,|p7_eth_rock_shape_01_grime|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
117,xmodelmesh,p7_3arc_lobby_picture_28x34_lod01694f633,1408,0,|p7_picture_frame_modern_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
118,xmodelmesh,p7_light_hanging_egyptian_01_lod223fc86ff,1792,0,|p7_light_hanging_egyptian_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
119,xmodelmesh,p7_planter_concrete_box_128x32_col9afd077b,1488,0,|p7_planter_concrete_box_128x32_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
120,xmodelmesh,p7_sin_window_frame_boards_06_lod0ef6b917e,1568,0,|p7_sin_window_frame_boards_06|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
121,xmodelmesh,p7_debris_drywall_chunks_02_lod0115f0821,928,0,|p7_debris_drywall_chunks_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
122,xmodelmesh,p7_debris_drywall_chunks_03_lod0954d79a3,1008,0,|p7_debris_drywall_chunks_03|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
123,xmodelmesh,p7_debris_drywall_chunks_04_lod0b7ba47d6,1008,0,|p7_debris_drywall_chunks_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
124,xmodelmesh,p7_brick_clean_02_lod0e08f7b23,1216,0,|p7_brick_dirty_02_tan_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
125,xmodelmesh,p7_brick_clean_breakout_07_lod05a32251e,1488,0,|p7_brick_dirty_breakout_07|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
126,xmodelmesh,p7_cai_door_wood_decorative_doorframes_02_lod5249df099,1392,0,|p7_cai_door_wood_decorative_doorframes_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
127,xmodelmesh,p7_barrier_block_concrete_long_02_clean_lod4a73c1828,1200,0,|p7_barrier_block_concrete_long_02_low_clean_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
128,xmodelmesh,p7_brick_broken_clean_pile_01_lod49577d563,1488,0,|p7_brick_broken_worn_dirty_pile_01_brown|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
